采集日期,日报截屏上送时长（小时）,原始上送时长（小时）,原始上送时长（分钟）,运营端不合格时长（小时）,运营端不合格时长（分钟）,不合格时长占比,数据记录差异,设备ID,采集点,采集点对接人
2025-11-17,6.25,6.15,368.8,0.58,34.95,9.43%,-0.1,d94e,希利,罗圣峰
2025-11-17,6.25,6.12,367.5,0.59,35.25,9.64%,-0.13,e5cb,希利,罗圣峰
2025-11-17,4.0,2.36,141.6,0.29,17.25,12.29%,-1.64,e5fb,丰县,江伊潭
2025-11-18,1.25,2.03,121.6,0.9,54.0,44.33%,0.78,0fe4,武汉,贺子豪
2025-11-18,4.0,4.02,241.3,0.67,40.35,16.67%,0.02,17fd,丰县,江伊潭
2025-11-18,6.0,6.44,386.3,0.3,18.0,4.66%,0.44,3a7e,希利,罗圣峰
2025-11-18,0.0,1.67,100.3,0.17,10.05,10.18%,1.67,4813,,
2025-11-18,2.5,3.87,232.0,0.03,1.6,0.78%,1.37,4ad7,希利,罗圣峰
2025-11-18,8.0,1.67,100.5,0.01,0.5,0.6%,-6.33,4e97,东莞,贺子豪
2025-11-18,8.0,8.06,483.5,0.25,15.25,3.1%,0.06,4f46,东莞,贺子豪
2025-11-18,7.0,29.69,1781.7,8.7,522.0,29.3%,22.69,57ff,遇见个超市,贺子豪
2025-11-18,8.0,8.03,481.5,1.95,117.25,24.28%,0.03,8f4a,遇见个超市,贺子豪
2025-11-18,3.75,3.78,227.1,0.52,31.35,13.76%,0.03,c0e4,丰县,江伊潭
2025-11-18,6.0,6.38,383.0,0.54,32.35,8.46%,0.38,c6c1,希利,罗圣峰
2025-11-18,6.0,6.1,366.3,0.53,31.75,8.69%,0.1,d94e,希利,罗圣峰
2025-11-18,6.0,6.14,368.5,0.52,31.05,8.47%,0.14,e5cb,希利,罗圣峰
2025-11-18,3.96,5.97,358.5,1.28,76.75,21.44%,2.01,e5fb,丰县,江伊潭
2025-11-18,1.0,0.0,,,,,-1.0,f016,武汉,贺子豪
2025-11-18,0.0,1.61,96.4,1.37,82.35,85.09%,1.61,f061,,
2025-11-19,2.0,2.02,121.4,1.97,118.1,97.52%,0.02,0fe4,武汉,贺子豪
2025-11-19,4.6,6.29,377.5,0.47,28.0,7.47%,1.69,17fd,丰县,江伊潭
2025-11-19,0.0,0.01,0.5,0.01,0.5,100.0%,0.01,2ed0,,
2025-11-19,6.25,6.19,371.4,0.27,16.45,4.36%,-0.06,3a7e,希利,罗圣峰
2025-11-19,0.0,1.37,82.1,0.25,15.0,18.25%,1.37,4813,,
2025-11-19,1.5,1.55,92.8,0.28,16.8,18.06%,0.05,4ad7,希利,罗圣峰
2025-11-19,8.0,8.49,509.5,2.37,142.17,27.92%,0.49,4e97,东莞,贺子豪
2025-11-19,8.0,4.02,241.2,0.24,14.2,5.97%,-3.98,4f46,东莞,贺子豪
2025-11-19,0.0,2.59,155.7,1.51,90.45,58.3%,2.59,4fcf,,
2025-11-19,4.0,12.82,769.0,0.72,43.25,5.62%,8.82,57ff,遇见个超市,贺子豪
2025-11-19,0.0,1.64,98.4,1.17,70.15,71.34%,1.64,5c12,,
2025-11-19,0.0,16.47,988.3,0.38,22.95,2.31%,16.47,6790,,
2025-11-19,8.0,8.33,500.0,2.21,132.75,26.53%,0.33,8f4a,遇见个超市,贺子豪
2025-11-19,0.0,0.02,1.1,0.02,1.1,100.0%,0.02,c0a2,,
2025-11-19,4.95,6.61,396.4,0.52,31.05,7.87%,1.66,c0e4,丰县,江伊潭
2025-11-19,6.25,6.2,372.1,2.73,163.7,44.03%,-0.05,c6c1,希利,罗圣峰
2025-11-19,6.25,4.71,282.9,0.47,28.25,9.98%,-1.54,d94e,希利,罗圣峰
2025-11-19,6.25,5.7,342.1,0.72,43.1,12.63%,-0.55,e5cb,希利,罗圣峰
2025-11-19,4.7,2.65,158.7,0.04,2.5,1.51%,-2.05,e5fb,丰县,江伊潭
2025-11-20,3.0,3.96,237.9,1.27,76.4,32.07%,0.96,0fe4,武汉,贺子豪
2025-11-20,4.8,2.98,178.6,0.72,43.5,24.16%,-1.82,17fd,丰县,江伊潭
2025-11-20,6.25,6.18,370.7,0.17,10.0,2.75%,-0.07,3a7e,希利,罗圣峰
2025-11-20,0.0,4.18,250.8,0.99,59.5,23.68%,4.18,4813,宁波,罗圣峰
2025-11-20,6.25,0.0,,,,,-6.25,4ad7,希利,罗圣峰
2025-11-20,8.0,8.04,482.6,2.67,160.1,33.21%,0.04,4e97,东莞,贺子豪
2025-11-20,8.0,5.14,308.4,0.55,33.0,10.7%,-2.86,4f46,东莞,贺子豪
2025-11-20,8.0,16.21,972.5,2.08,124.8,12.83%,8.21,57ff,遇见个超市,贺子豪
2025-11-20,1.75,5.15,309.0,1.21,72.75,23.5%,3.4,6790,遇见个超市,贺子豪
2025-11-20,0.75,0.0,,,,,-0.75,821e,杭州风之末,江伊潭
