原始日期,原始设备ID,标准日期,标准设备ID,来源表,需要检查
2025/12/1,e5cb,2025-12-01,e5cb,表1,True
2025/12/1,c6c1,2025-12-01,c6c1,表1,True
2025/12/1,4ad7,2025-12-01,4ad7,表1,True
2025/12/1,4813,2025-12-01,4813,表1,True
2025/12/1,8dfb,2025-12-01,8dfb,表1,True
2025/12/1,cda9,2025-12-01,cda9,表1,True
2025/12/1,5c12,2025-12-01,5c12,表1,True
2025/12/2,4813,2025-12-02,4813,表1,True
2025/12/2,8dfb,2025-12-02,8dfb,表1,True
2025/12/2,cda9,2025-12-02,cda9,表1,True
2025/12/2,5c12,2025-12-02,5c12,表1,True
2025/12/2,1af9,2025-12-02,1af9,表1,True
2025/12/3,cda9,2025-12-03,cda9,表1,True
2025/12/3,5c12,2025-12-03,5c12,表1,True
2025/12/3,1af9,2025-12-03,1af9,表1,True
2025/12/3,4813,2025-12-03,4813,表1,True
2025/12/3,8dfb,2025-12-03,8dfb,表1,True
2025/12/4,cda9,2025-12-04,cda9,表1,True
2025/12/4,5c12,2025-12-04,5c12,表1,True
2025/12/4,1af9,2025-12-04,1af9,表1,True
2025/12/4,4813,2025-12-04,4813,表1,True
2025/12/4,8dfb,2025-12-04,8dfb,表1,True
2025/12/5,cda9,2025-12-05,cda9,表1,True
2025/12/5,5c12,2025-12-05,5c12,表1,True
2025/12/5,1af9,2025-12-05,1af9,表1,True
2025/12/5,4813,2025-12-05,4813,表1,True
2025/12/5,8dfb,2025-12-05,8dfb,表1,True
2025/12/6,cda9,2025-12-06,cda9,表1,True
2025/12/6,691f,2025-12-06,691f,表1,True
2025/12/6,3fb3,2025-12-06,3fb3,表1,True
2025/12/6,4813,2025-12-06,4813,表1,True
2025/12/6,8dfb,2025-12-06,8dfb,表1,True
2025/12/8,cda9,2025-12-08,cda9,表1,True
2025/12/8,5c12,2025-12-08,5c12,表1,True
2025/12/8,691f,2025-12-08,691f,表1,True
2025/12/8,3fb3,2025-12-08,3fb3,表1,True
2025/12/8,1af9,2025-12-08,1af9,表1,True
2025/12/9,6790,2025-12-09,6790,表1,True
2025/12/9,cda9,2025-12-09,cda9,表1,True
2025/12/9,5c12,2025-12-09,5c12,表1,True
2025/12/9,691f,2025-12-09,691f,表1,True
2025/12/9,3fb3,2025-12-09,3fb3,表1,True
2025/12/9,1af9,2025-12-09,1af9,表1,True
2025/12/10,cda9,2025-12-10,cda9,表1,True
2025/12/10,5c12,2025-12-10,5c12,表1,True
2025/12/10,691f,2025-12-10,691f,表1,True
2025/12/10,3fb3,2025-12-10,3fb3,表1,True
2025/12/10,1af9,2025-12-10,1af9,表1,True
2025/12/11,cda9,2025-12-11,cda9,表1,True
2025/12/11,1af9,2025-12-11,1af9,表1,True
2025/12/11,691f,2025-12-11,691f,表1,True
2025/12/11,3fb3,2025-12-11,3fb3,表1,True
2025/12/11,e2be,2025-12-11,e2be,表1,True
2025/12/12,cda9,2025-12-12,cda9,表1,True
2025/12/12,1af9,2025-12-12,1af9,表1,True
2025/12/12,691f,2025-12-12,691f,表1,True
2025/12/12,3fb3,2025-12-12,3fb3,表1,True
2025/12/12,dcfe,2025-12-12,dcfe,表1,True
2025/12/12,cbcd,2025-12-12,cbcd,表1,True
2025/12/13,cda9,2025-12-13,cda9,表1,True
2025/12/13,1af9,2025-12-13,1af9,表1,True
2025/12/13,691f,2025-12-13,691f,表1,True
2025/12/13,3fb3,2025-12-13,3fb3,表1,True
2025/12/13,dcfe,2025-12-13,dcfe,表1,True
2025/12/13,cbcd,2025-12-13,cbcd,表1,True
2025/12/13,e2be,2025-12-13,e2be,表1,True
2025/12/14,cda9,2025-12-14,cda9,表1,True
2025/12/14,1af9,2025-12-14,1af9,表1,True
